,City,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,ZA,1577131683,88,-34.42,19.24,289.26,5.28
1,Puerto Ayora,EC,1577131683,65,-0.74,-90.35,301.15,6.7
2,Hobart,AU,1577131480,71,-42.88,147.33,285.15,3.1
3,Nikolskoye,RU,1577131683,93,59.7,30.79,277.15,2.0
4,Ushuaia,AR,1577131454,87,-54.81,-68.31,284.15,11.8
5,Tuatapere,NZ,1577131683,79,-46.13,167.69,284.82,0.45
6,Kampong Thum,KH,1577131684,74,12.71,104.89,294.94,3.28
7,Byron Bay,AU,1577131684,88,-28.65,153.62,297.04,0.58
8,Biltine,TD,1577131684,18,14.53,20.93,292.18,2.71
9,Rikitea,PF,1577131684,81,-23.12,-134.97,296.89,4.84
10,Albany,US,1577131567,49,42.65,-73.75,284.15,3.1
11,New Norfolk,AU,1577131684,71,-42.78,147.06,285.15,3.1
12,Arraial do Cabo,BR,1577131685,88,-22.97,-42.02,301.15,9.3
13,Kangaatsiaq,GL,1577131685,75,68.31,-53.46,264.22,4.09
14,Mataura,NZ,1577131685,79,-46.19,168.86,284.82,0.45
15,Lata,IN,1577131685,30,30.78,78.62,262.06,1.86
16,Lompoc,US,1577131685,93,34.64,-120.46,287.59,4.81
17,Pangody,RU,1577131685,95,65.85,74.49,256.61,6.31
18,Upernavik,GL,1577131686,72,72.79,-56.15,256.22,1.54
19,Chuy,UY,1577131686,57,-33.69,-53.46,294.5,5.46
20,Lingyuan,CN,1577131686,87,41.24,119.4,260.33,2.15
21,Kupang,ID,1577131686,76,-10.16,123.6,301.87,4.87
22,Otradnoye,RU,1577131686,93,59.77,30.8,277.15,2.0
23,Antalaha,MG,1577131686,82,-14.9,50.28,300.41,10.9
24,Touros,BR,1577131686,55,-5.2,-35.46,303.15,7.2
25,Manta,RO,1577131687,87,45.1,24.1,278.01,0.57
26,Bluff,AU,1577131687,75,-23.58,149.07,296.09,1.33
27,Sola,TZ,1577131687,83,-3.17,33.8,293.06,1.89
28,Mar del Plata,AR,1577131687,47,-46.43,-67.52,289.55,7.43
29,Katsuura,JP,1577131687,81,33.93,134.5,282.04,4.1
30,Dutlwe,BW,1577131687,38,-23.98,23.93,301.0,2.57
31,Provideniya,RU,1577131688,72,64.42,-173.23,261.15,5.0
32,Turukhansk,RU,1577131688,92,65.8,87.96,259.84,6.62
33,Ocean City,US,1577131688,71,30.44,-86.61,287.15,5.7
34,Punta Arenas,CL,1577131688,53,-53.16,-70.91,284.15,11.3
35,The Valley,AI,1577131688,69,18.22,-63.06,303.15,6.2
36,Grindavik,IS,1577131688,86,63.84,-22.43,274.15,2.6
37,Miri,NG,1577131689,15,10.31,9.75,291.15,2.24
38,Atuona,PF,1577131689,61,-9.8,-139.03,299.89,4.49
39,Port Augusta,AU,1577131689,88,-32.49,137.76,293.15,2.1
40,Cape Town,ZA,1577131635,77,-33.93,18.42,291.48,3.1
41,Longyearbyen,NO,1577131689,68,78.22,15.63,271.15,2.6
42,Nanortalik,GL,1577131689,71,60.14,-45.24,271.58,3.3
43,Bandarbeyla,SO,1577131689,72,9.49,50.81,298.25,10.84
44,Chokurdakh,RU,1577131689,95,70.62,147.9,244.31,0.36
45,Port Alfred,ZA,1577131690,91,-33.59,26.89,292.59,4.47
46,Sydney Mines,CA,1577131690,84,46.24,-60.22,273.71,4.6
47,Shushtar,IR,1577131690,56,32.05,48.86,286.54,1.16
48,De Aar,ZA,1577131690,31,-30.65,24.01,298.5,3.88
49,Goderich,CA,1577131585,79,43.74,-81.71,282.59,5.81
50,Ribeira Grande,PT,1577131690,76,38.52,-28.7,287.15,2.1
51,La Ronge,CA,1577131691,92,55.1,-105.3,268.15,3.1
52,Butaritari,KI,1577131691,81,3.07,172.79,300.67,8.85
53,Paragominas,BR,1577131691,60,-3.0,-47.35,302.7,2.09
54,Nichinan,JP,1577131691,75,31.65,131.31,279.82,2.24
55,Fukue,JP,1577131691,76,35.03,136.69,283.15,4.1
56,Broome,GB,1577131692,81,52.47,1.45,280.93,5.7
57,Pisco,PE,1577131692,30,-13.71,-76.2,295.37,8.7
58,Castro,CL,1577131692,81,-42.48,-73.76,285.15,3.1
59,Chumikan,RU,1577131692,75,54.72,135.31,244.2,6.02
60,Victoria,BN,1577131459,94,5.28,115.24,298.15,1.5
61,Trat,TH,1577131692,78,12.25,102.51,300.0,2.39
62,Shimoda,JP,1577131692,88,34.7,138.93,277.59,11.67
63,Berlevag,NO,1577131693,75,70.86,29.09,274.13,6.05
64,Petropavlovsk-Kamchatskiy,RU,1577131693,70,53.05,158.65,252.15,6.0
65,Yellowknife,CA,1577131458,83,62.45,-114.38,253.71,2.1
66,Kawalu,ID,1577131693,87,-7.38,108.21,294.31,0.82
67,Qaanaaq,GL,1577131693,96,77.48,-69.36,253.17,1.76
68,Kamenka,MD,1577131693,90,48.03,28.7,282.59,1.34
69,Cockburn Town,TC,1577131694,61,21.46,-71.14,301.15,6.2
70,East London,ZA,1577131694,52,-33.02,27.91,300.89,4.27
71,Sidi Ali,DZ,1577131694,85,36.1,0.42,285.54,0.25
72,Namatanai,PG,1577131694,75,-3.66,152.44,302.24,4.19
73,Berezovyy,RU,1577131694,81,51.67,135.7,243.05,1.96
74,Saint-Joseph,FR,1577131694,37,43.56,6.97,286.15,1.5
75,Umm Lajj,SA,1577131694,63,25.02,37.27,291.58,1.78
76,Waipawa,NZ,1577131694,93,-39.94,176.59,287.04,0.45
77,Kidal,ML,1577131695,10,18.44,1.41,294.53,4.91
78,Avarua,CK,1577131588,94,-21.21,-159.78,296.15,6.7
79,Norman Wells,CA,1577131695,65,65.28,-126.83,236.15,0.47
80,Torbay,CA,1577131598,67,47.66,-52.73,269.82,2.6
81,Banjar,ID,1577131695,92,-7.37,108.54,296.22,0.71
82,Haines Junction,CA,1577131695,97,60.75,-137.51,263.17,3.74
83,Luganville,VU,1577131695,74,-15.51,167.18,299.15,4.1
84,Nisia Floresta,BR,1577131695,62,-6.09,-35.21,303.15,8.2
85,Saskylakh,RU,1577131696,91,71.97,114.09,244.53,1.4
86,Vaini,IN,1577131696,71,15.34,74.49,292.52,2.71
87,Fortuna,US,1577131696,87,40.6,-124.16,284.26,2.77
88,Bougouni,ML,1577131696,14,11.42,-7.49,296.97,2.1
89,Juneau,US,1577131462,86,58.3,-134.42,276.15,10.3
90,Beaverlodge,CA,1577131614,92,55.21,-119.43,260.15,3.1
91,Barranca,PE,1577131697,89,-10.75,-77.76,293.62,5.74
92,Barrow,AR,1577131697,15,-38.31,-60.23,307.99,9.59
93,Hovd,NO,1577131697,92,63.83,10.7,279.26,2.6
94,Mahebourg,MU,1577131697,78,-20.41,57.7,300.15,6.7
95,Carnarvon,ZA,1577131697,20,-30.97,22.13,295.0,5.09
96,Clyde River,CA,1577131698,83,70.47,-68.59,247.15,0.88
97,Jamestown,AU,1577131698,36,-33.21,138.6,295.01,2.67
98,Busselton,AU,1577131698,53,-33.64,115.35,289.26,4.87
99,Kita,JP,1577131698,66,35.76,139.74,282.15,11.8
100,San Andres,PH,1577131536,87,13.32,122.68,295.85,2.76
101,Caravelas,BR,1577131699,79,-17.73,-39.27,297.63,5.3
102,Lorengau,PG,1577131699,76,-2.02,147.27,301.82,3.9
103,Kirakira,SB,1577131699,81,-10.46,161.92,299.86,1.7
104,Mount Darwin,ZW,1577131699,56,-16.77,31.58,293.09,1.73
105,Ouesso,CG,1577131699,59,1.61,16.05,298.63,1.41
106,Kathu,ZA,1577131699,47,-27.7,23.05,299.26,4.86
107,Sainte-Agathe-des-Monts,CA,1577131700,75,46.05,-74.28,278.71,3.6
108,Luderitz,NA,1577131700,77,-26.65,15.16,290.15,3.6
109,Saint-Philippe,CA,1577131700,81,45.36,-73.48,280.15,11.3
110,Bathsheba,BB,1577131700,66,13.22,-59.52,303.15,9.8
111,Codrington,AU,1577131700,94,-28.95,153.24,296.15,2.6
112,Kapaa,US,1577131700,94,22.08,-159.32,298.15,3.1
113,Faanui,PF,1577131700,89,-16.48,-151.75,298.53,5.34
114,Garzon,FR,1577131701,100,47.81,-3.64,286.48,5.1
115,Kavieng,PG,1577131701,75,-2.57,150.8,302.25,5.1
116,Constantine,DZ,1577131701,75,36.36,6.61,280.15,4.1
117,Chakrata,IN,1577131701,56,30.7,77.87,279.31,2.35
118,Warrington,GB,1577131701,87,53.39,-2.59,280.15,4.1
119,Anadyr,RU,1577131702,84,64.73,177.51,254.15,7.0
120,Hithadhoo,MV,1577131702,83,-0.6,73.08,300.12,7.32
121,Thompson,CA,1577131702,92,55.74,-97.86,262.15,1.5
122,Kaitangata,NZ,1577131702,87,-46.28,169.85,283.15,0.89
123,Geraldton,CA,1577131424,72,49.72,-86.95,265.15,3.1
124,Parkes,AU,1577131703,55,-33.14,148.18,296.48,0.89
125,Road Town,VG,1577131515,62,18.42,-64.62,302.15,4.1
126,Hilo,US,1577131629,73,19.71,-155.08,297.59,2.6
127,Paciran,ID,1577131703,87,-6.9,112.33,298.78,1.08
128,Sur,OM,1577131703,43,22.57,59.53,292.61,2.62
129,Innisfail,AU,1577131704,89,-17.52,146.03,297.63,1.29
130,Baruun-Urt,MN,1577131704,87,46.68,113.28,257.58,0.56
131,Ponta do Sol,BR,1577131704,88,-20.63,-46.0,295.14,1.94
132,Formosa,BR,1577131704,86,-15.55,-47.33,296.62,1.04
133,Bethel,US,1577131704,77,60.79,-161.76,255.15,9.3
134,Hamilton,CA,1577131625,65,43.26,-79.87,283.15,7.2
135,Wangaratta,AU,1577131704,67,-36.36,146.32,294.15,2.6
136,Zhezkazgan,KZ,1577131704,86,47.8,67.71,257.59,1.25
137,Kumluca,TR,1577131705,90,36.37,30.29,283.86,5.82
138,Udachnyy,RU,1577131705,75,66.42,112.4,247.15,2.0
139,Kahului,US,1577131705,69,20.89,-156.47,298.15,1.5
140,Concepcion del Oro,MX,1577131705,37,24.63,-101.42,288.06,3.03
141,Mahuva,IN,1577131705,70,21.09,71.76,297.99,3.62
142,Siocon,PH,1577131705,92,11.03,124.04,296.48,4.02
143,Licheng,CN,1577131706,86,24.5,110.4,283.06,1.9
144,Iqaluit,CA,1577131706,77,63.75,-68.52,257.15,1.5
145,Cherskiy,RU,1577131706,92,68.75,161.3,241.47,0.99
146,Pevek,RU,1577131706,98,69.7,170.27,243.06,1.54
147,Santa Marta,CO,1577131706,59,11.24,-74.21,306.15,1.5
148,Nantucket,US,1577131707,66,41.28,-70.1,283.15,4.1
149,Barcelos,BR,1577131707,82,-0.97,-62.93,299.0,1.51
150,Dikson,RU,1577131707,93,73.51,80.55,255.84,6.32
151,Tasiilaq,GL,1577131707,56,65.61,-37.64,262.15,2.1
152,Saint George,GR,1577131707,76,39.45,22.34,283.15,2.1
153,Tuktoyaktuk,CA,1577131707,75,69.44,-133.03,246.15,2.6
154,Buala,SB,1577131707,81,-8.15,159.59,300.51,1.59
155,Ciudad Real,ES,1577131707,100,38.99,-3.93,283.15,1.19
156,Coihaique,CL,1577131708,47,-45.58,-72.07,287.15,5.1
157,Kiama,AU,1577131708,93,-34.67,150.86,293.71,2.1
158,Ambilobe,MG,1577131708,84,-13.19,49.05,298.72,0.18
159,Hasaki,JP,1577131708,93,35.73,140.83,277.04,3.6
160,Plettenberg Bay,ZA,1577131708,86,-34.05,23.37,291.49,2.79
161,Leningradskiy,RU,1577131708,96,69.38,178.42,248.61,6.83
162,Yatou,CM,1577131709,83,3.63,9.81,301.15,1.45
163,Bima,ID,1577131709,92,-8.45,118.73,296.19,0.39
164,Amuntai,ID,1577131709,91,-2.42,115.25,296.34,0.42
165,Moose Factory,CA,1577131709,85,51.26,-80.61,266.15,5.1
166,Bambous Virieux,MU,1577131709,78,-20.34,57.76,300.15,6.7
167,Whittlesea,AU,1577131709,71,-37.51,145.12,288.15,3.6
168,Westport,US,1577131709,57,41.14,-73.36,286.15,5.7
169,Manavalakurichi,IN,1577131710,94,8.13,77.3,300.15,1.5
170,Burns Lake,CA,1577131710,89,54.23,-125.76,265.43,1.06
171,Souillac,FR,1577131710,93,45.6,-0.6,284.15,5.1
172,Usvyaty,RU,1577131710,95,55.75,30.75,278.51,0.72
173,Maniitsoq,GL,1577131710,50,65.42,-52.9,265.67,2.55
174,Bage,IN,1577131710,91,12.95,75.85,291.42,1.59
175,Kota Kinabalu,MY,1577131711,100,5.98,116.07,298.15,1.5
176,Russell,US,1577131711,40,38.9,-98.86,287.04,5.1
177,Namibe,AO,1577131711,85,-15.19,12.15,295.92,3.43
178,Maningrida,AU,1577131711,81,-12.05,134.23,299.6,1.17
179,Najran,SA,1577131711,44,17.54,44.22,289.15,0.9
180,Deputatskiy,RU,1577131712,100,69.3,139.9,239.75,0.57
181,Marawi,PH,1577131712,92,8.0,124.29,297.04,2.24
182,Balingasay,PH,1577131712,78,16.36,119.86,299.25,4.64
183,Kautokeino,NO,1577131712,100,69.01,23.04,261.27,0.18
184,Ust-Kalmanka,RU,1577131712,88,52.12,83.31,261.03,2.87
185,Henties Bay,NA,1577131713,89,-22.12,14.28,289.82,0.45
186,Temyasovo,RU,1577131713,42,52.99,58.1,271.15,12.0
187,Alofi,NU,1577131713,83,-19.06,-169.92,301.15,1.5
188,Half Moon Bay,US,1577131713,71,37.46,-122.43,285.93,3.1
189,Wamba,CD,1577131713,71,2.14,27.99,293.38,0.52
190,Limon,US,1577131713,11,39.26,-103.69,291.48,0.9
191,Bredasdorp,ZA,1577131713,72,-34.53,20.04,291.15,0.5
192,Soe,EE,1577131714,93,57.91,26.05,278.15,0.72
193,Port Elizabeth,US,1577131714,37,39.31,-74.98,286.48,2.6
194,Necochea,AR,1577131714,28,-38.55,-58.74,302.12,2.94
195,Guiglo,CI,1577131714,37,6.55,-7.5,299.37,1.4
196,Gamba,CN,1577131714,43,28.28,88.52,261.58,0.6
197,Vardo,US,1577131715,52,39.62,-77.74,286.48,1.5
198,Balsas,BR,1577131715,69,-7.53,-46.04,301.02,1.44
199,Klaksvik,FO,1577131715,93,62.23,-6.59,277.15,3.73
200,Salalah,OM,1577131715,30,17.01,54.1,295.15,2.6
201,Rusera,IN,1577131715,56,25.75,86.02,287.2,1.97
202,Bilma,NE,1577131715,10,18.69,12.92,289.84,3.04
203,Belmonte,PT,1577131715,52,40.36,-7.35,282.59,8.94
204,Crateus,BR,1577131716,26,-5.18,-40.68,306.5,4.1
205,Slave Lake,CA,1577131716,92,55.28,-114.77,259.15,4.1
206,Severo-Yeniseyskiy,RU,1577131716,98,60.37,93.04,253.54,1.92
207,Ballina,IE,1577131716,100,54.11,-9.15,278.71,2.1
208,Khatanga,RU,1577131716,92,71.98,102.47,246.19,3.34
209,Wahiawa,US,1577131716,88,21.5,-158.02,300.37,1.5
210,Cayenne,GF,1577131716,88,4.94,-52.33,300.15,4.1
211,Ilulissat,GL,1577131525,64,69.22,-51.1,256.15,0.5
212,Mawlaik,MM,1577131717,89,23.63,94.42,287.01,1.01
213,Honiara,SB,1577131717,100,-9.43,159.96,297.15,1.0
214,Narsimhapur,IN,1577131717,67,17.14,74.26,293.29,3.84
215,Lubango,AO,1577131717,85,-14.92,13.49,289.93,0.4
216,Tsalka,GE,1577131717,40,41.6,44.09,273.92,3.84
217,Ravar,IR,1577131717,38,31.27,56.81,280.49,0.4
218,Tongchuan,CN,1577131718,86,34.9,108.95,274.15,3.0
219,Alanya,TR,1577131718,93,36.55,32.0,287.15,3.1
220,Karratha,AU,1577131718,72,-20.74,116.85,302.54,5.25
221,Tiksi,RU,1577131718,100,71.64,128.87,249.23,1.96
222,Broken Hill,AU,1577131718,22,-31.97,141.45,298.15,5.96
223,Yumen,CN,1577131718,77,40.29,97.04,262.76,1.45
224,Jiwani,PK,1577131719,42,25.05,61.74,296.53,4.69
225,Beinamar,TD,1577131719,24,8.67,15.38,295.26,2.25
226,Lebu,ET,1577131719,71,8.96,38.73,286.19,0.42
227,Rocha,UY,1577131719,32,-34.48,-54.34,298.0,2.86
228,Puerto Escondido,MX,1577131719,79,15.86,-97.07,303.15,3.1
229,Kizema,RU,1577131719,97,61.11,44.83,274.14,2.9
230,Kodiak,US,1577131719,41,39.95,-94.76,287.59,6.7
231,Matane,CA,1577131720,86,48.83,-67.52,272.15,9.3
232,Takoradi,GH,1577131720,82,4.89,-1.75,301.2,3.05
233,Skibotn,NO,1577131720,92,69.39,20.27,273.15,7.2
234,Corinto,CO,1577131720,58,3.17,-76.26,303.15,1.5
235,Valparaiso,US,1577131506,66,41.47,-87.06,286.48,2.6
236,Amahai,ID,1577131720,77,-3.31,129.0,301.01,2.6
237,Georgetown,GY,1577131720,83,6.8,-58.16,301.15,5.1
238,Ahmadpur East,PK,1577131721,29,29.14,71.26,288.17,2.48
239,San Cristobal,HN,1577131721,75,14.68,-86.92,295.13,4.61
240,Candido Mendes,BR,1577131721,72,-1.45,-45.72,300.36,2.78
241,Cabedelo,BR,1577131721,58,-6.97,-34.84,303.15,7.2
242,Muroto,JP,1577131721,78,33.37,134.14,278.23,2.34
243,Cabo San Lucas,MX,1577131604,64,22.89,-109.91,300.37,1.0
244,Sibolga,ID,1577131721,98,1.74,98.78,295.26,1.31
245,Alice Springs,AU,1577131722,18,-23.7,133.88,300.15,4.63
246,Maloy,ID,1577131722,98,1.0,118.1,296.01,1.38
247,Lloydminster,CA,1577131565,100,53.28,-110.01,268.15,1.0
248,Tateyama,JP,1577131722,91,36.66,137.31,278.71,0.89
249,Yarada,IN,1577131722,66,17.65,83.27,297.94,5.73
250,Porto Torres,IT,1577131722,58,40.84,8.4,287.15,6.7
251,Jacareacanga,BR,1577131723,66,-6.22,-57.76,306.15,2.1
252,Neryungri,RU,1577131723,95,56.66,124.71,239.41,1.69
253,Beloha,MG,1577131723,63,-25.17,45.06,299.07,5.62
254,Charters Towers,AU,1577131723,78,-20.07,146.27,296.1,2.83
255,Nalut,LY,1577131723,56,31.86,10.98,286.67,2.38
256,Nouadhibou,MR,1577131723,38,20.93,-17.03,296.15,4.1
257,Gilbues,BR,1577131723,35,-9.83,-45.34,304.32,0.85
258,Mecca,SA,1577131573,64,21.43,39.83,295.9,1.61
259,Bonthe,SL,1577131724,80,7.53,-12.5,300.17,3.0
260,Gondanglegi,ID,1577131724,88,-7.75,112.01,297.3,0.38
261,Sobolevo,RU,1577131724,98,54.43,31.9,280.39,2.44
262,Sydney,AU,1577131424,88,-33.85,151.22,294.82,1.21
263,Lavrentiya,RU,1577131724,86,65.58,-170.99,256.41,4.48
